date,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,UC,season,weekday,year,patio_open,apparent_temp_7pm,apparent_temp_12pm,dewpoint_7pm,temp_max,temp_min,temp_range,snow_depth_morning,precip_dinner,precip_dinner_max,snowfall_dinner,precip_type_dinner,windgusts_dinner_max,cloudcover_dinner_mean,precip_lunch,precip_lunch_max,precip_type_lunch,precip_lag0,precip_type_code,precip_lag1,precip_lag2,precip_lag5d,year_code,any_rain_lag1,OC_predicted,cloudcover_bin,UC_predicted,UC_resid
2017-01-02,174,0,106,26,42,17,6,68,Winter,1,2017,0,32.8,31.8,37.8,33.3,24.8,8.499999999999996,0.0,0.10600000000000001,0.035,0.0,rain,17.9,100.0,0.051000000000000004,0.035,rain,0.229,1,0.004,,0.004,0,1,0.0,3,50.840112552332116,17.159887447667884
2017-01-03,181,0,119,31,31,14,4,62,Winter,2,2017,0,36.8,33.1,43.4,36.9,30.2,6.699999999999999,0.0,0.078,0.047,0.0,rain,26.2,100.0,0.052000000000000005,0.028,rain,0.217,1,0.229,0.004,0.233,0,1,0.0,3,49.61012332311121,12.38987667688879
2017-01-04,174,0,131,17,26,5,2,43,Winter,3,2017,0,28.5,40.9,23.0,42.1,21.3,20.8,0.0,0.0,0.0,0.0,none,40.3,0.0,0.004,0.004,rain,0.044,0,0.217,0.229,0.45,0,1,0.0,0,52.123393814431665,-9.123393814431665
2017-01-05,191,0,138,25,28,4,2,53,Winter,4,2017,0,22.7,17.8,13.8,22.7,14.1,8.6,0.0,0.0,0.0,0.0,none,18.6,94.5,0.0,0.0,none,0.0,0,0.044,0.217,0.494,0,1,0.0,3,56.360570540773594,-3.360570540773594
2017-01-06,200,0,130,16,54,6,3,70,Winter,5,2017,0,22.2,21.1,10.0,24.2,16.7,7.5,0.066,0.0,0.0,0.0,none,14.1,98.5,0.0,0.0,none,0.07200000000000001,0,0.0,0.044,0.494,0,0,0.0,3,58.50610277468604,11.493897225313958
2017-01-07,209,0,115,22,72,4,1,94,Winter,6,2017,0,10.8,11.6,15.8,15.6,7.4,8.2,0.066,0.125,0.035,0.881,snow,26.8,100.0,0.08,0.028,snow,0.35000000000000003,2,0.07200000000000001,0.0,0.562,0,1,0.0,3,69.04909944577973,24.95090055422027
2017-01-08,188,0,135,13,40,8,3,53,Winter,7,2017,0,8.3,4.4,6.2,10.4,2.7,7.7,0.262,0.0,0.0,0.0,none,25.3,41.2,0.0,0.0,none,0.0,0,0.35000000000000003,0.07200000000000001,0.683,0,1,0.0,1,65.58945266838184,-12.589452668381838
2017-01-09,175,0,131,25,19,4,2,44,Winter,1,2017,0,10.2,7.6,8.1,11.9,-4.5,16.4,0.262,0.0,0.0,0.0,none,15.7,82.5,0.0,0.0,none,0.0,0,0.0,0.35000000000000003,0.466,0,0,0.0,3,54.02881084313408,-10.028810843134082
2017-01-10,179,0,134,15,30,11,3,45,Winter,2,2017,0,30.6,20.2,33.2,30.6,0.4,30.200000000000003,0.262,0.0,0.0,0.0,none,16.6,99.8,0.0,0.0,none,0.0,0,0.0,0.0,0.42200000000000004,0,0,0.0,3,52.67860324108133,-7.678603241081333
2017-01-11,187,0,139,18,30,3,2,48,Winter,3,2017,0,37.1,38.4,40.7,46.3,30.2,16.099999999999998,0.131,0.0,0.0,0.0,none,19.0,99.2,0.0,0.0,none,0.185,0,0.0,0.0,0.42200000000000004,0,0,0.0,3,52.14970216025595,-4.1497021602559485
